Codice,Valuta
AED,Dirham degli Emirati Arabi Uniti
AFN,Afghani afghano
ALL,Lek albanese
AMD,Dram armeno
ANG,Fiorino delle Antille olandesi
AOA,Kwanza angolano
ARS,Peso argentino
AUD,Dollaro australiano
AWG,Fiorino arubano
AZN,Manat azero
BAM,Marco bosniaco
BBD,Dollaro di Barbados
BDT,Taka bengalese
BGN,Nuovo lev bulgaro
BHD,Dinaro del Bahrain
BIF,Franco del Burundi
BMD,Dollaro della Bermuda
BND,Dollaro del Brunei
BOB,Boliviano boliviano
BOV,Mvdol Boliviano (codice per i fondi)
BRL,Real brasiliano
BSD,Dollaro delle Bahamas
BTN,Ngultrum del Bhutan
BWP,Pula del Botswana
BYR,Rublo bielorusso
BZD,Dollaro del Belize
CAD,Dollaro canadese
CDF,Franco congolese
CHE,WIR Euro (valuta complementare della WIR Bank)
CHF,Franco svizzero
CHW,WIR Franco (valuta complementare della WIR Bank)
CLF,Unidades de fomento Cilena (codice per i fondi)
CLP,Peso cileno
CNY,Renminbi cinese (Yuan)
COP,Peso colombiano
COU,Unidad de Valor Real (codice per i fondi)
CRC,Colón costaricano
CUC,Peso cubano convertibile
CUP,Peso cubano
CVE,Escudo di Capo Verde
CZK,Corona ceca
DJF,Franco gibutiano
DKK,Corona danese
DOP,Peso dominicano
DZD,Dinaro algerino
EGP,Lira egiziana (o sterlina)
ERN,Nakfa eritreo
ETB,Birr etiope
EUR,Euro
FJD,Dollaro delle Figi
FKP,Sterlina delle Falkland
GBP,Sterlina britannica (o lira sterlina)
GEL,Lari georgiano
GHS,Cedi ghanese
GIP,Sterlina di Gibilterra
GMD,Dalasi gambese
GNF,Franco guineano
GTQ,Quetzal guatemalteco
GYD,Dollaro della Guyana
HKD,Dollaro di Hong Kong
HNL,Lempira honduregna
HRK,Kuna croata
HTG,Gourde haitiano
HUF,Fiorino ungherese
IDR,Rupia indonesiana
ILS,Nuovo siclo israeliano
INR,Rupia indiana
IQD,Dinaro iracheno
IRR,Rial iraniano
ISK,Corona islandese
JMD,Dollaro giamaicano
JOD,Dinaro giordano
JPY,Yen
KES,Scellino keniota
KGS,Som kirghizo
KHR,Riel cambogiano
KMF,Franco delle Comore
KPW,Won nordcoreano
KRW,Won sudcoreano
KWD,Dinaro kuwaitiano
KYD,Dollaro delle Cayman
KZT,Tenge kazako
LAK,Kip laotiano
LBP,Lira libanese (o sterlina)
LKR,Rupia singalese
LRD,Dollaro liberiano
LSL,Loti lesothiano
LYD,Dinaro libico
MAD,Dirham marocchino
MDL,Leu moldavo
MGA,Ariary malgascio
MKD,Dinaro macedone
MMK,Kyat birmano
MNT,Tugrik mongolo
MOP,Pataca di Macao
MRO,Ouguiya mauritana
MUR,Rupia mauriziana
MVR,Rufiyaa delle Maldive
MWK,Kwacha malawiano
MXN,Peso messicano
MXV,Unidad de Inversion messicano (codice per i fondi)
MYR,Ringgit malese
MZN,Metical mozambicano
NAD,Dollaro namibiano
NGN,Naira nigeriana
NIO,Cordoba nicaraguense
NOK,Corona norvegese
NPR,Rupia nepalese
NZD,Dollaro neozelandese
OMR,Rial dell'Oman
PAB,Balboa panamense
PEN,Nuevo sol peruviano
PGK,Kina papuana
PHP,Peso filippino
PKR,Rupia pakistana
PLN,Złoty polacco
PYG,Guarani paraguaiano
QAR,Rial del Qatar
RON,Nuovo leu rumeno
RSD,Dinaro serbo
RUB,Rublo russo
RWF,Franco ruandese
SAR,Rial saudita
SBD,Dollaro delle Salomone
SCR,Rupia delle Seychelles
SDG,Sterlina sudanese
SEK,Corona svedese
SGD,Dollaro di Singapore
SHP,Sterlina di Sant'Elena
SLL,Leone sierraleonese
SOS,Scellino somalo
SRD,Dollaro surinamese
SSP,Sterlina sudsudanese
STD,Dobra di São Tomé e Príncipe
SYP,Lira siriana (o sterlina)
SZL,Lilangeni dello Swaziland
THB,Baht thailandese
TJS,Somoni tagiko
TMT,Manat turkmeno
TND,Dinaro tunisino
TOP,Paʻanga tongano
TRY,Nuova lira turca
TTD,Dollaro di Trinidad e Tobago
TWD,Nuovo dollaro taiwanese
TZS,Scellino tanzaniano
UAH,Grivnia ucraina
UGX,Scellino ugandese
USD,Dollaro statunitense
USN,Dollaro statunitense (Next day) (codice per i fondi)
USS,Dollaro statunitense (Same day) (codice per i fondi)
UYU,Peso uruguaiano
UZS,Som uzbeco
VEF,Bolivar venezuelano
VND,Đồng vietnamita
VUV,Vatu di Vanuatu
WST,Tala samoano
XAF,Franco CFA BEAC
XAG,Argento
XAL,Alluminio
XAU,Oro
XBA,Unità Composita Europea (EURCO) (unità per il mercato obbligazionario)
XBB,Unità Monetaria Europea (E.M.U.-6) (unità per il mercato obbligazionario)
XBC,Unità di acconto Europea 9 (E.U.A.-9) (unità per il mercato obbligazionario)
XBD,Unità di acconto Europea 17 (E.U.A.-17) (unità per il mercato obbligazionario)
XCD,Dollaro dei Caraibi Orientali
XCP,Rame
XDR,Diritti Speciali di Prelievo
XFO,Franco-Oro (valuta speciale)
XFU,Franco UIC (valuta speciale)
XOF,Franco CFA BCEAO
XPD,Palladio
XPF,Franco CFP
XPT,Platino
XTS,Codice riservato a scopo di test
XXX,Nessuna valuta (nessuna transazione)
YER,Rial yemenita
ZAR,Rand sudafricano
ZMW,Kwacha zambiano
ZWL,Dollaro zimbabwiano
ADP,Andorra
ADF,Andorra
ATS,Austria
BEF,Belgio
CYP,Cipro
DEM,Germania
EEK,Estonia
ESP,Spagna
FIM,Finlandia
FRF,Francia
GRD,Grecia
IEP,Irlanda
ITL,Italia
LTL,Lituania
LUF,Lussemburgo
LVL,Lettonia
MCF,Principato di Monaco
MTL,Malta
NLG,Paesi Bassi
PTE,Portogallo
SIT,Slovenia
SKK,Slovacchia
SML,San Marino
VAL,Città del Vaticano
XEU,Unione europea
AFA,Afghanistan
ALK,Albania
AON,Angola
AOR,Angola
ARA,Argentina
ARL,Argentina
ARM,Argentina
ARP,Argentina
AZM,Azerbaigian
BEC,Belgio
BEL,Belgio
BGJ,Bulgaria
BGK,Bulgaria
BGL,Bulgaria
BOP,Bolivia
BRB,Brasile
BRC,Brasile
CFP,Polinesia Francese
CNX,Cina
CSD,Serbia
CSJ,Cecoslovacchia
CSK,Cecoslovacchia
DDM,Repubblica Democratica Tedesca
ECS,Ecuador
ECV,Ecuador
EQE,Guinea Equatoriale
ESA,Spagna
ESB,Spagna
GNE,Guinea
GWP,Guinea-Bissau
HRD,Croazia
ILP,Israele
ILR,Israele
ISJ,Islanda
LAJ,Laos
MAF,Mali
MGF,Madagascar
MKN,Repubblica di Macedonia
MVQ,Maldive
MXP,Messico
MZM,Mozambico
PEH,Perù
PEI,Perù
PLZ,Polonia
ROK,Romania
ROL,Romania
RUR,Russia
SDD,Sudan
SRG,Suriname
SUR,Unione Sovietica
SVC,El Salvador
TJR,Tagikistan
TPE,Timor Est
TRL,Turchia
UAK,Ucraina
UGW,Uganda
UYN,Uruguay
VNC,Vietnam
YDD,Yemen del Sud
YUD,Jugoslavia
YUN,Jugoslavia
YUM,Jugoslavia
ZAL,Sudafrica
ZRN,Zaire
ZRZ,Zaire
ZWC,Rhodesia
ZWD,Zimbabwe
ZWN,Zimbabwe
ZWR,Zimbabwe
